(-2.46724e-17,-0.640168,-2.95315e-17,1.81347,-8.35608e-18,0.427915,-1.84662e-19)
(-0.00101979,-0.64599,-0.0011955,1.80555,-0.000351171,0.423287,-2.85297e-05)
(-0.00158373,-0.642369,-0.00187642,1.8105,-0.000530881,0.42619,-2.89081e-05)
(-0.00252827,-0.644463,-0.00298455,1.80766,-0.000856448,0.424525,-5.67352e-05)
(-0.00305908,-0.643097,-0.00362243,1.80952,-0.00102754,0.42562,-5.89921e-05)
(-0.0039944,-0.643883,-0.00472402,1.80846,-0.00134676,0.425001,-8.31536e-05)
(-0.00451763,-0.643318,-0.00534935,1.80923,-0.00151797,0.425457,-8.82416e-05)
(-0.00545346,-0.643544,-0.00645541,1.80894,-0.00183404,0.425287,-0.000108645)
(-0.00597312,-0.643418,-0.00707265,1.80912,-0.00200707,0.425395,-0.000117116)
(-0.00691082,-0.643379,-0.008184,1.80918,-0.00232107,0.425438,-0.000134439)
(-0.0074289,-0.643369,-0.00879787,1.80921,-0.00249462,0.425454,-0.00014408)
(-0.00836632,-0.643379,-0.00990816,1.80921,-0.00280895,0.425463,-0.000161867)
(-0.00888443,-0.643388,-0.0105217,1.80921,-0.00298272,0.425465,-0.000171747)
(-0.00982374,-0.643189,-0.0116385,1.8095,-0.00329387,0.425643,-0.00018512)
(-0.010341,-0.643118,-0.0122527,1.80961,-0.00346564,0.42571,-0.000192934)
(-0.0112774,-0.643108,-0.0133618,1.80965,-0.00377855,0.42574,-0.000209395)
(-0.0117947,-0.643112,-0.0139745,1.80965,-0.00395158,0.425749,-0.000218641)
(-0.0127314,-0.643134,-0.0150833,1.80965,-0.0042651,0.425756,-0.000235653)
(-0.0132517,-0.642933,-0.015705,1.80994,-0.00443409,0.425931,-0.000239103)
(-0.0141873,-0.642877,-0.0168146,1.81004,-0.00474482,0.426003,-0.000253209)
(-0.0147036,-0.642865,-0.0174263,1.81008,-0.00491664,0.426028,-0.000261395)
(-0.0156392,-0.642885,-0.0185335,1.81008,-0.00522901,0.426042,-0.000277375)
(-0.0161561,-0.642904,-0.019145,1.81008,-0.00540176,0.426045,-0.0002864)
(-0.0170953,-0.64272,-0.0202637,1.81036,-0.0057089,0.426224,-0.000294912)
(-0.0176109,-0.64266,-0.0208763,1.81046,-0.00587845,0.426291,-0.00030068)
(-0.0185449,-0.642666,-0.0219819,1.81049,-0.00618903,0.426321,-0.000315076)
(-0.0190606,-0.642681,-0.0225918,1.81049,-0.00636084,0.426329,-0.000323394)
(-0.0199952,-0.642719,-0.0236969,1.81048,-0.0066725,0.426338,-0.000338769)
(-0.0205155,-0.642529,-0.024321,1.81077,-0.00683815,0.426511,-0.000338207)
(-0.0214484,-0.642489,-0.0254272,1.81086,-0.00714576,0.426584,-0.000349449)
(-0.0219624,-0.642488,-0.0260357,1.81089,-0.00731592,0.426608,-0.000356416)
(-0.0228953,-0.642524,-0.0271384,1.81089,-0.00762611,0.426623,-0.000370621)
(-0.0234149,-0.642336,-0.0277628,1.81117,-0.00779008,0.426798,-0.000368249)
(-0.0243462,-0.642301,-0.028867,1.81127,-0.00809613,0.426872,-0.000378143)
(-0.024859,-0.642304,-0.0294738,1.81129,-0.00826548,0.426895,-0.00038454)
(-0.0257905,-0.642346,-0.0305742,1.81129,-0.00857459,0.426911,-0.000397881)
(-0.0263097,-0.642163,-0.0311989,1.81157,-0.00873706,0.427085,-0.000393847)
(-0.0272395,-0.642135,-0.032301,1.81166,-0.00904161,0.427159,-0.000402446)
(-0.0277511,-0.642142,-0.032906,1.81168,-0.00921016,0.427183,-0.000408307)
(-0.0286811,-0.64219,-0.0340038,1.81167,-0.00951816,0.427198,-0.000420789)
(-0.0291997,-0.642012,-0.0346287,1.81195,-0.00967911,0.427372,-0.000415115)
(-0.0301278,-0.64199,-0.0357284,1.81204,-0.00998213,0.427446,-0.000422423)
(-0.030638,-0.642002,-0.0363315,1.81206,-0.0101499,0.427469,-0.000427763)
(-0.0315663,-0.642056,-0.0374265,1.81205,-0.0104567,0.427485,-0.000439387)
(-0.0320843,-0.641883,-0.0380513,1.81232,-0.0106161,0.427657,-0.000432092)
(-0.0330105,-0.641867,-0.0391485,1.81241,-0.0109175,0.427732,-0.000438114)
(-0.0335192,-0.641883,-0.0397493,1.81242,-0.0110844,0.427754,-0.000442947)
(-0.0344457,-0.641944,-0.0408414,1.81241,-0.01139,0.42777,-0.000453713)
(-0.0349629,-0.641775,-0.0414659,1.81268,-0.0115479,0.427942,-0.00044482)
(-0.035887,-0.641766,-0.0425602,1.81276,-0.0118477,0.428016,-0.000449562)
(-0.0363941,-0.641786,-0.0431587,1.81277,-0.0120137,0.428037,-0.000453903)
(-0.0373185,-0.641853,-0.0442474,1.81276,-0.0123181,0.428054,-0.000463814)
(-0.0378348,-0.641689,-0.0448715,1.81302,-0.0124744,0.428225,-0.000453346)
(-0.0387567,-0.641686,-0.0459627,1.8131,-0.0127725,0.428299,-0.000456815)
(-0.039262,-0.641711,-0.0465586,1.81311,-0.0129376,0.42832,-0.000460681)
(-0.0401843,-0.641784,-0.0476439,1.81309,-0.0132407,0.428336,-0.00046974)
(-0.0406995,-0.641625,-0.0482673,1.81336,-0.0133954,0.428506,-0.000457722)
(-0.041619,-0.641628,-0.0493552,1.81343,-0.0136918,0.428581,-0.000459928)
(-0.0421224,-0.641657,-0.0499484,1.81344,-0.013856,0.4286,-0.000463336)
(-0.0430423,-0.641736,-0.05103,1.81342,-0.0141577,0.428617,-0.000471546)
(-0.0435564,-0.641582,-0.0516525,1.81368,-0.0143108,0.428786,-0.000458005)
(-0.0444734,-0.641592,-0.0527368,1.81375,-0.0146055,0.42886,-0.000458958)
(-0.0449748,-0.641625,-0.0533271,1.81375,-0.0147687,0.428879,-0.000461927)
(-0.0458922,-0.64171,-0.0544047,1.81373,-0.0150691,0.428896,-0.000469294)
(-0.046405,-0.641561,-0.0550262,1.81398,-0.0152206,0.429064,-0.000454257)
(-0.0473192,-0.641577,-0.0561067,1.81405,-0.0155135,0.429138,-0.00045397)
(-0.0478186,-0.641615,-0.0566939,1.81405,-0.0156758,0.429156,-0.000456518)
(-0.0487333,-0.641705,-0.0577673,1.81403,-0.0159747,0.429173,-0.000463049)
(-0.0492446,-0.641561,-0.0583876,1.81428,-0.0161245,0.42934,-0.000446543)
(-0.050156,-0.641583,-0.0594641,1.81434,-0.0164156,0.429414,-0.00044503)
(-0.0506531,-0.641625,-0.060048,1.81434,-0.0165769,0.429431,-0.000447177)
(-0.0515751,-0.64151,-0.0611519,1.8146,-0.0168581,0.429619,-0.000430051)
(-0.0520701,-0.641499,-0.061739,1.81467,-0.0170134,0.42968,-0.000425981)
(-0.052978,-0.641577,-0.062805,1.81467,-0.0173071,0.429713,-0.000428666)
(-0.0534852,-0.641432,-0.0634217,1.81492,-0.017453,0.429885,-0.000408939)
(-0.054391,-0.641459,-0.0644907,1.81499,-0.0177404,0.429961,-0.000404942)
(-0.0548841,-0.641506,-0.065069,1.81498,-0.0178998,0.429978,-0.000406221)
(-0.0558022,-0.6414,-0.0661682,1.81523,-0.0181771,0.430166,-0.000385735)
(-0.0562934,-0.641396,-0.0667503,1.8153,-0.0183304,0.430225,-0.000380496)
(-0.0571966,-0.641483,-0.067809,1.81529,-0.0186214,0.430258,-0.000381482)
(-0.0577011,-0.641345,-0.0684229,1.81554,-0.0187646,0.430428,-0.000359462)
(-0.058602,-0.641382,-0.0694849,1.8156,-0.0190489,0.430504,-0.000353361)
(-0.0590914,-0.641435,-0.0700576,1.81559,-0.0192067,0.430518,-0.000353961)
(-0.0600055,-0.641339,-0.071152,1.81584,-0.0194802,0.430706,-0.000330234)
(-0.060493,-0.641341,-0.0717288,1.8159,-0.0196315,0.430763,-0.000323916)
(-0.0613911,-0.641437,-0.0727798,1.81588,-0.0199198,0.430796,-0.000323251)
(-0.0618926,-0.641306,-0.0733906,1.81613,-0.0200603,0.430963,-0.000299027)
(-0.0627884,-0.641351,-0.0744452,1.81618,-0.0203415,0.431039,-0.000290877)
(-0.0632739,-0.641411,-0.075012,1.81617,-0.0204976,0.431052,-0.000290857)
(-0.0641837,-0.641324,-0.076101,1.81641,-0.0207673,0.431238,-0.000263958)
(-0.0646671,-0.641333,-0.0766721,1.81646,-0.0209166,0.431293,-0.000256633)
(-0.0655599,-0.641437,-0.0777151,1.81644,-0.0212021,0.431326,-0.000254359)
(-0.0660583,-0.641314,-0.0783224,1.81668,-0.0213399,0.431491,-0.000228021)
(-0.0669486,-0.641368,-0.079369,1.81673,-0.0216179,0.431566,-0.000217877)
(-0.0674299,-0.641433,-0.0799297,1.81671,-0.0217724,0.431577,-0.000217296)
(-0.0683352,-0.641356,-0.0810129,1.81695,-0.0220383,0.431763,-0.000187302)
(-0.0688143,-0.641371,-0.081578,1.817,-0.0221855,0.431816,-0.000179041)
(-0.0697015,-0.641483,-0.0826124,1.81697,-0.0224681,0.431848,-0.000175206)
(-0.0701965,-0.641367,-0.0832159,1.8172,-0.0226033,0.432011,-0.000146843)
(-0.071081,-0.641429,-0.0842542,1.81725,-0.0228781,0.432085,-0.000134767)
(-0.071558,-0.641501,-0.0848083,1.81722,-0.0230309,0.432095,-0.000133684)
(-0.0714768,-0.641295,-0.0847433,1.81749,-0.0229803,0.43225,-0.000105137)
(-0.0717176,-0.641246,-0.0850359,1.8176,-0.0230466,0.432324,-9.18654e-05)
(-0.0718084,-0.641229,-0.085146,1.81763,-0.0230717,0.432351,-8.7053e-05)
(-0.0718426,-0.641223,-0.0851874,1.81765,-0.0230813,0.432361,-8.53129e-05)
