\providecommand{\ColorSlowErrorPoseDataX}{
(0.025,-0.124)
(0.049,5.796)
(0.073,-0.200)
(0.099,6.016)
(0.124,-0.199)
(0.147,5.987)
(0.171,-0.400)
(0.196,6.327)
(0.217,-0.621)
(0.242,6.342)
(0.268,-0.615)
(0.294,6.404)
(0.319,-0.678)
(0.345,6.577)
(0.371,-0.914)
(0.397,6.604)
(0.421,-0.991)
(0.446,6.767)
(0.472,-0.800)
(0.497,6.352)
(0.523,-0.379)
(0.549,5.988)
(0.574,0.043)
(0.600,5.766)
(0.621,-0.303)
(0.645,6.558)
(0.670,-0.795)
(0.695,6.835)
(0.720,6.835)
(0.743,-1.134)
(0.766,7.267)
(0.791,-1.600)
(0.813,8.202)
(0.837,-2.998)
(0.863,9.264)
(0.884,-3.620)
(0.903,9.652)
(0.927,-4.238)
(0.949,10.440)
(0.973,10.440)
(0.997,10.440)
(1.015,-4.011)
(1.040,9.566)
(1.065,-3.320)
(1.090,9.319)
(1.115,-3.684)
(1.141,10.059)
(1.166,10.059)
(1.192,-3.747)
(1.216,9.349)
(1.235,-3.218)
(1.255,9.018)
(1.278,-3.209)
(1.302,9.009)
(1.326,-3.065)
(1.350,9.686)
(1.372,-4.197)
(1.397,9.814)
(1.421,-2.960)
(1.447,8.936)
(1.472,-3.120)
(1.498,9.761)
(1.524,9.761)
(1.549,-3.401)
(1.575,9.272)
(1.601,-3.233)
(1.625,9.162)
(1.651,-3.471)
(1.676,10.827)
(1.701,10.827)
(1.721,10.827)
(1.744,10.827)
(1.769,10.827)
(1.795,10.827)
(1.820,10.827)
(1.846,10.827)
(1.871,10.827)
(1.893,10.827)
(1.918,10.827)
(1.939,10.827)
(1.961,10.827)
(1.981,10.827)
(2.004,10.827)
(2.028,10.827)
(2.052,-3.908)
(2.073,9.497)
(2.096,-3.691)
(2.120,10.091)
(2.144,-4.027)
(2.170,10.548)
(2.197,10.548)
(2.222,-3.706)
(2.249,9.440)
(2.275,-1.024)
(2.299,6.360)
(2.324,0.103)
(2.348,5.751)
(2.373,3.443)
(2.399,2.620)
(2.425,3.756)
(2.450,3.047)
(2.476,3.047)
(2.501,3.047)
(2.527,-1.563)
(2.551,1.818)
(2.577,-1.857)
(2.603,2.117)
(2.629,-1.097)
(2.655,-0.768)
(2.681,1.615)
(2.706,-1.986)
(2.732,0.612)
(2.758,0.887)
(2.783,-1.536)
(2.808,0.590)
(2.833,-0.047)
(2.858,-0.420)
(2.884,1.270)
(2.909,-0.816)
(2.934,1.029)
(2.958,-0.909)
(2.983,0.360)
(3.008,0.114)
(3.034,0.445)
(3.060,-1.542)
(3.086,2.175)
(3.112,-1.317)
(3.138,0.734)
(3.162,-0.654)
(3.187,0.266)
(3.213,0.266)
(3.238,0.403)
(3.264,0.030)
(3.289,1.725)
